method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
ewc,3,120,2.3466,1.9583,2.9788,3.8298,18
ewc,3,125,2.3507,1.9402,2.9693,3.8298,18
ewc,3,130,2.3538,1.9402,2.9538,3.8298,18
ewc,3,135,2.3557,1.8957,2.9572,3.8298,18
ewc,3,140,2.3600,1.8957,2.9554,3.8298,18
ewc,3,145,2.3671,1.8957,2.9603,3.8298,18
ewc,3,150,2.3770,1.8957,2.9637,3.8298,18
ewc,3,155,2.3813,1.8957,2.9607,3.8298,18
ewc,3,160,2.3859,1.8957,2.7148,3.8298,18
ewc,3,165,2.4063,1.8957,2.7151,3.8298,18
ewc,3,170,2.2466,1.8957,2.7153,3.8298,18
ewc,3,175,2.3241,1.8957,2.9812,3.8298,18
ewc,3,180,2.2336,1.8957,2.9824,3.8298,18
ewc,3,185,2.2302,1.8957,2.9831,3.8298,18
ewc,3,190,2.2205,1.8957,2.7417,3.8298,18
ewc,3,195,2.2211,1.8957,2.7579,3.8298,18
ewc,3,200,2.2241,1.8957,2.7683,3.8298,18
ewc,3,205,2.2293,1.8957,2.7996,3.8298,18
ewc,3,210,2.2323,1.8957,2.7960,3.8298,18
ewc,3,215,2.2400,1.8957,2.7770,3.8298,18
ewc,3,220,2.2435,1.8957,2.7660,3.8298,18
ewc,3,225,2.2500,1.8957,3.0733,3.8298,18
ewc,3,230,2.2627,1.8957,3.1732,3.8298,18
ewc,3,235,2.2627,1.8957,3.1842,3.8298,18
ewc,3,240,2.2627,1.8957,3.1830,3.8298,18
ewc,3,245,2.2627,1.8957,3.1904,3.8298,18
ewc,3,250,2.2627,1.8957,3.2096,3.8298,18
ewc,3,255,2.2627,1.8957,3.5977,3.8298,18
ewc,3,260,2.2627,1.8957,3.5977,3.8298,18
ewc,3,265,2.2627,1.8957,3.5977,3.8298,18
ewc,3,270,2.2627,1.8957,3.5977,3.8298,18
ewc,3,275,2.2627,1.8957,3.5977,3.8298,18
ewc,3,280,2.2627,1.8957,3.5977,3.8298,18
ewc,3,285,2.2627,1.8957,3.5977,3.8298,18
ewc,3,290,2.2627,1.8957,3.5977,3.8298,18
ewc,3,295,2.2627,1.8957,3.5977,3.8298,18
frozen,1,0,1.1725,1.0283,1.4623,3.8298,29
frozen,1,5,1.1640,1.0395,1.4531,3.8298,29
frozen,1,10,1.1647,1.0319,1.4569,3.8298,29
frozen,1,15,1.2115,1.0277,1.4602,3.8298,29
frozen,1,20,1.2152,1.0468,1.4537,3.8298,29
frozen,1,25,1.1714,1.0275,1.4404,3.8298,29
frozen,1,30,1.1670,1.0629,1.4499,3.8298,29
frozen,1,35,1.2132,1.0707,1.4564,3.8298,29
frozen,1,40,1.3160,1.0713,1.5289,3.8298,29
frozen,1,45,1.5435,1.2770,1.6869,3.8298,29
frozen,1,50,1.5911,1.3473,1.8735,3.8298,29
frozen,1,55,1.8254,1.5259,2.1208,3.8298,29
frozen,1,60,1.8408,1.6942,2.1983,3.8298,29
frozen,1,65,1.7759,1.6723,2.0331,3.8298,29
frozen,1,70,1.7460,1.5355,2.0922,3.8298,29
frozen,1,75,1.8666,1.5757,2.1916,3.8298,29
frozen,1,80,1.8713,1.6190,2.3028,3.8298,29
frozen,1,85,1.8713,1.6190,2.3028,3.8298,29
frozen,1,90,1.8713,1.6190,2.3028,3.8298,29
frozen,1,95,1.8713,1.6190,2.3028,3.8298,29
frozen,1,100,1.8713,1.6190,2.3028,3.8298,29
frozen,1,105,1.8713,1.6190,2.2663,3.8298,29
frozen,1,110,1.8713,1.6190,2.1909,3.8298,29
frozen,1,115,1.8713,1.6190,2.3028,3.8298,29
frozen,1,120,1.8713,1.6190,2.3028,3.8298,29
frozen,1,125,1.8713,1.6190,2.3028,3.8298,29
frozen,1,130,1.8713,1.6190,2.3028,3.8298,29
frozen,1,135,1.8713,1.6190,2.3028,3.8298,29
frozen,1,140,1.8713,1.6190,2.3028,3.8298,29
frozen,1,145,1.8713,1.6190,2.3028,3.8298,29
frozen,1,150,1.8713,1.6190,2.3028,3.8298,29
frozen,1,155,1.8713,1.6190,2.3028,3.8298,29
frozen,1,160,1.8713,1.6190,2.3028,3.8298,29
frozen,1,165,1.8713,1.6190,2.3028,3.8298,29
frozen,1,170,1.8713,1.6190,2.3028,3.8298,29
frozen,1,175,1.8713,1.6190,2.3028,3.8298,29
frozen,1,180,1.8713,1.6190,2.3028,3.8298,29
frozen,1,185,1.8713,1.6190,2.3028,3.8298,29
frozen,1,190,1.8713,1.6190,2.3028,3.8298,29
frozen,1,195,1.8713,1.6190,2.3028,3.8298,29
frozen,1,200,1.8713,1.6190,2.3028,3.8298,29
frozen,1,205,1.8713,1.6190,2.3028,3.8298,29
frozen,1,210,1.8713,1.6190,2.3028,3.8298,29
frozen,1,215,1.8713,1.6190,2.3028,3.8298,29
frozen,1,220,1.8713,1.6190,2.3028,3.8298,29
frozen,1,225,1.8713,1.6190,2.3028,3.8298,29
frozen,1,230,1.8713,1.6190,2.3028,3.8298,29
frozen,1,235,1.8713,1.6190,2.3028,3.8298,29
frozen,1,240,1.8713,1.6190,2.3028,3.8298,29
frozen,1,245,1.8713,1.6190,2.3028,3.8298,29
frozen,1,250,1.8713,1.6190,2.3028,3.8298,29
frozen,1,255,1.8713,1.6190,2.3028,3.8298,29
frozen,1,260,1.8713,1.6190,2.3028,3.8298,29
frozen,1,265,1.8713,1.6190,2.3028,3.8298,29
frozen,1,270,1.8713,1.6190,2.3028,3.8298,29
frozen,1,275,1.8713,1.6190,2.3028,3.8298,29
frozen,1,280,1.8713,1.6190,2.3028,3.8298,29
frozen,1,285,1.8713,1.6190,2.3028,3.8298,29
frozen,1,290,1.8713,1.6190,2.3028,3.8298,29
frozen,1,295,1.8713,1.6190,2.3028,3.8298,29
frozen,2,0,1.1603,1.0263,1.4792,3.8298,29
frozen,2,5,1.1549,1.0202,1.4646,3.8298,29
frozen,2,10,1.1633,1.0572,1.4685,3.8298,29
frozen,2,15,1.1886,1.0828,1.4709,3.8298,29
frozen,2,20,1.2008,1.0891,1.4686,3.8298,29
frozen,2,25,1.1677,1.0373,1.4565,3.8298,29
frozen,2,30,1.1562,1.0515,1.4619,3.8298,29
frozen,2,35,1.1637,1.0029,1.4775,3.8298,29
frozen,2,40,1.1613,1.0796,1.4743,3.8298,29
frozen,2,45,1.3371,1.1608,1.6926,3.8298,29
frozen,2,50,1.3759,1.0790,1.7909,3.8298,29
frozen,2,55,1.6372,1.2976,2.0471,3.8298,29
frozen,2,60,1.8056,1.5263,2.1640,3.8298,29
frozen,2,65,1.8822,1.5144,2.3046,3.8298,29
frozen,2,70,1.8768,1.5541,2.1265,3.8298,29
frozen,2,75,1.8419,1.5654,1.9655,3.8298,29
frozen,2,80,1.7814,1.5777,2.1247,3.8298,29
frozen,2,85,1.7461,1.5539,2.1247,3.8298,29
frozen,2,90,1.7659,1.5539,2.1247,3.8298,29
frozen,2,95,1.7659,1.5539,2.1247,3.8298,29
frozen,2,100,1.7659,1.5539,2.1247,3.8298,29
frozen,2,105,1.7659,1.5539,2.1247,3.8298,29
frozen,2,110,1.7659,1.5539,2.1247,3.8298,29
frozen,2,115,1.7659,1.5539,2.1247,3.8298,29
frozen,2,120,1.7659,1.5539,2.1247,3.8298,29
frozen,2,125,1.7659,1.5539,2.1247,3.8298,29
frozen,2,130,1.7659,1.5539,2.1247,3.8298,29
frozen,2,135,1.7659,1.5539,2.1247,3.8298,29
frozen,2,140,1.7659,1.5539,2.1247,3.8298,29
frozen,2,145,1.7659,1.5539,2.1247,3.8298,29
frozen,2,150,1.7659,1.5539,2.1247,3.8298,29
frozen,2,155,1.7659,1.5539,2.1247,3.8298,29
frozen,2,160,1.7659,1.5539,2.1247,3.8298,29
frozen,2,165,1.7659,1.5539,2.1247,3.8298,29
frozen,2,170,1.7659,1.5539,2.1247,3.8298,29
frozen,2,175,1.7659,1.5539,2.1247,3.8298,29
frozen,2,180,1.7659,1.5539,2.1247,3.8298,29
frozen,2,185,1.7659,1.5539,2.1247,3.8298,29
frozen,2,190,1.7659,1.5539,2.1247,3.8298,29
frozen,2,195,1.7659,1.5539,2.1247,3.8298,29
frozen,2,200,1.7659,1.5539,2.1247,3.8298,29
frozen,2,205,1.7659,1.5539,2.1247,3.8298,29
frozen,2,210,1.7659,1.5539,2.1247,3.8298,29
frozen,2,215,1.7659,1.5539,2.1247,3.8298,29
frozen,2,220,1.7659,1.5539,2.1247,3.8298,29
frozen,2,225,1.7659,1.5539,2.1247,3.8298,29
frozen,2,230,1.7659,1.5539,2.1247,3.8298,29
frozen,2,235,1.7659,1.5539,2.1247,3.8298,29
frozen,2,240,1.7659,1.5539,2.1247,3.8298,29
frozen,2,245,1.7659,1.5539,2.1247,3.8298,29
frozen,2,250,1.7659,1.5539,2.1247,3.8298,29
frozen,2,255,1.7659,1.5539,2.1247,3.8298,29
frozen,2,260,1.7659,1.5539,2.1247,3.8298,29
frozen,2,265,1.7659,1.5539,2.1247,3.8298,29
frozen,2,270,1.7659,1.5539,2.1247,3.8298,29
frozen,2,275,1.7659,1.5539,2.1247,3.8298,29
frozen,2,280,1.7659,1.5539,2.1247,3.8298,29
frozen,2,285,1.7659,1.5539,2.1247,3.8298,29
frozen,2,290,1.7659,1.5539,2.1247,3.8298,29
frozen,2,295,1.7659,1.5539,2.1247,3.8298,29
frozen,3,0,1.2047,1.0355,1.4569,3.8298,29
frozen,3,5,1.1713,1.0417,1.4595,3.8298,29
frozen,3,10,1.1824,1.0305,1.4497,3.8298,29
frozen,3,15,1.2482,1.1041,1.4671,3.8298,29
frozen,3,20,1.2129,1.1167,1.4687,3.8298,29
frozen,3,25,1.2218,1.0647,1.4574,3.8298,29
frozen,3,30,1.1744,1.0696,1.5017,3.8298,29
frozen,3,35,1.1776,1.0496,1.4789,3.8298,29
frozen,3,40,1.1596,1.0723,1.4332,3.8298,29
frozen,3,45,1.3923,1.2101,1.5964,3.8298,29
